"date","open","high","low","volume","close"
2007-01-03,37.41,38.150002,37.380001,43222800,37.970001
2007-01-04,37.970001,38,37.450001,31288800,37.75
2007-01-05,37.57,37.759998,37.310001,27027200,37.560001
2007-01-08,37.450001,37.669998,37.25,23713700,37.549999
2007-01-09,37.779999,37.990002,37.360001,24597400,37.549999
2007-01-10,37.380001,37.610001,37.34,23996600,37.560001
2007-01-11,37.5,37.959999,37.419998,30831700,37.919998
2007-01-12,37.84,38,37.669998,25944000,37.889999
2007-01-16,38,38.25,37.93,31118200,38.110001
2007-01-17,38.18,38.279999,37.849998,30462800,37.98
2007-01-18,38.009998,38.169998,37.259998,41603000,38
2007-01-19,37.150002,37.5,36.849998,62906000,36.950001
2007-01-22,37.130001,37.330002,36.59,41384700,36.75
2007-01-23,36.68,36.740002,36.380001,35136000,36.549999
2007-01-24,36.700001,36.75,36.52,21458500,36.639999
2007-01-25,36.650002,36.700001,36.259998,25830200,36.34
2007-01-26,36.450001,36.549999,36.009998,25923800,36.07
2007-01-29,36.07,36.349998,36.029999,24947500,36.189999
2007-01-30,36.200001,36.34,35.759998,43142100,36.029999
2007-01-31,36,36.220001,35.830002,36164300,36.049999
2007-02-01,36.18,36.240002,35.759998,37868900,36.23
2007-02-02,36.259998,36.400002,36.119999,25107200,36.27
2007-02-05,36.27,36.48,36.200001,26202100,36.369999
2007-02-06,36.400002,36.439999,36.23,22730000,36.310001
2007-02-07,36.32,36.349998,36.060001,21371700,36.099998
2007-02-08,36.060001,36.060001,35.599998,33678200,35.740002
2007-02-09,35.709999,35.84,35.48,29808800,35.529999
2007-02-12,35.549999,35.880001,35.549999,19010300,35.639999
2007-02-13,35.639999,35.900002,35.639999,22963000,35.77
2007-02-14,35.93,36.5,35.790001,31908100,36.470001
2007-02-15,36.360001,36.470001,36.060001,28618800,36.139999
2007-02-16,36.07,36.099998,35.869999,31049400,35.869999
2007-02-20,35.860001,36.130001,35.75,23545600,36.110001
2007-02-21,35.990002,36.099998,35.82,34670300,35.91
2007-02-22,35.82,35.880001,35.310001,37663800,35.400002
2007-02-23,35.330002,35.349998,35.09,38152200,35.099998
2007-02-26,35.259998,35.380001,35.150002,28910600,35.34
2007-02-27,35.299999,35.689999,34.5,62678500,34.66
2007-02-28,34.799999,35.080002,34.650002,50719300,34.91
2007-03-01,34.610001,35.220001,34.32,51383500,35
2007-03-02,34.93,35.150002,34.700001,45176900,34.869999
2007-03-05,34.740002,34.970001,34.52,32849400,34.549999
2007-03-06,34.73,34.84,34.52,33997500,34.720001
2007-03-07,34.740002,34.75,34.32,38987200,34.330002
2007-03-08,34.599998,34.639999,34.349998,29124500,34.450001
2007-03-09,34.57,34.639999,34.220001,34229800,34.32
2007-03-12,34.279999,34.630001,34.009998,30206600,34.439999
2007-03-13,34.27,34.380001,34.009998,38898100,34.09
2007-03-14,34.09,34.400002,33.900002,40571200,34.310001
2007-03-15,34.200001,34.68,34.110001,35824800,34.52
2007-03-16,34.599998,34.84,34.25,44797300,34.360001
2007-03-19,34.5,34.669998,34.43,26529200,34.669998
2007-03-20,34.630001,34.849998,34.5,28264400,34.77
2007-03-21,34.75,35.700001,34.73,50433800,35.48
2007-03-22,35.439999,35.84,35.400002,33626200,35.810001
2007-03-23,35.790001,35.91,35.599998,33463800,35.82
2007-03-26,35.849998,36,35.439999,29675300,36
2007-03-27,35.799999,35.900002,35.66,29677300,35.790001
2007-03-28,35.700001,35.73,35.299999,41421500,35.549999
2007-03-29,35.599998,35.73,35.34,27471800,35.549999
2007-03-30,35.560001,35.580002,35,34170100,35.360001
2007-04-02,35.360001,35.529999,35.110001,23496200,35.290001
2007-04-03,35.43,35.599998,35.169998,30965900,35.32
2007-04-04,35.369999,35.380001,35.07,34697400,35.110001
2007-04-05,35.130001,35.189999,34.939999,26625300,35.02
2007-04-09,35.099998,35.150002,34.75,26455900,34.779999
2007-04-10,34.799999,34.990002,34.75,29279000,34.880001
2007-04-11,35,35.200001,34.860001,30476200,34.950001
2007-04-12,35.16,35.240002,34.860001,30793700,35.18
2007-04-13,35.599998,35.599998,35.25,35642900,35.380001
2007-04-16,35.5,35.599998,35.200001,33804400,35.360001
2007-04-17,35.369999,35.369999,35.060001,38380300,35.200001
2007-04-18,35.16,35.25,34.900002,37991100,35.130001
2007-04-19,35.049999,35.380001,34.900002,40445800,35
2007-04-20,35.23,35.240002,34.93,58379100,35.130001
2007-04-23,35.130001,35.150002,34.779999,35156300,34.799999
2007-04-24,34.799999,34.939999,34.549999,37428300,34.759998
2007-04-25,34.98,35.450001,34.91,45024200,35.41
2007-04-26,35.459999,35.849998,35.459999,46165000,35.84
2007-04-27,36.099998,37.220001,36.02,91716200,36.84
2007-04-30,36.900002,37.240002,36.610001,50198700,36.860001
2007-05-01,36.82,37.18,36.720001,43961300,37.099998
2007-05-02,37.119999,37.560001,37.119999,40259500,37.310001
2007-05-03,37.34,37.419998,37.130001,28153700,37.34
2007-05-04,37.439999,37.439999,37.060001,30037900,37.150002
2007-05-07,37.23,37.43,37.150002,20777200,37.240002
2007-05-08,37.09,37.189999,36.950001,26647400,37.080002
2007-05-09,36.919998,37.330002,36.860001,29427300,37.259998
2007-05-10,37.099998,37.099998,36.700001,27343200,36.779999
2007-05-11,36.799999,37.040001,36.799999,20651300,36.970001
2007-05-14,37,37,36.5,27717300,36.599998
2007-05-15,36.669998,37.200001,36.610001,27736000,36.639999
2007-05-16,36.720001,36.889999,36.52,26256900,36.830002
2007-05-17,36.75,36.830002,36.450001,24368900,36.529999
2007-05-18,36.799999,37.27,36.700001,41488700,36.959999
2007-05-21,37.310001,37.450001,37,40597400,37.099998
2007-05-22,37.220001,37.560001,37.110001,30558500,37.34
2007-05-23,37.5,37.799999,37.34,34278400,37.599998
2007-05-24,37.740002,37.810001,37.279999,30739700,37.380001
2007-05-25,37.43,37.630001,37.32,23889400,37.560001
2007-05-29,37.610001,37.689999,37.139999,29198000,37.400002
2007-05-30,37.189999,37.75,37.16,27003600,37.73
2007-05-31,37.779999,37.790001,37.509998,31646500,37.580002
2007-06-01,37.68,37.75,37.240002,33109200,37.450001
2007-06-04,37.790001,38.02,37.68,34911500,37.810001
2007-06-05,37.810001,37.810001,37.369999,40635100,37.400002
2007-06-06,37.299999,37.400002,37.119999,34084300,37.290001
